attacker,defender,effectiveness
normal,normal,1.0
normal,fire,1.0
normal,water,1.0
normal,electric,1.0
normal,grass,1.0
normal,ice,1.0
normal,fighting,1.0
normal,poison,1.0
normal,ground,1.0
normal,flying,1.0
normal,psychic,1.0
normal,bug,1.0
normal,rock,0.5
normal,ghost,0.0
normal,dragon,1.0
normal,dark,1.0
normal,steel,0.5
normal,fairy,1.0
fire,normal,1.0
fire,fire,0.5
fire,water,0.5
fire,electric,1.0
fire,grass,2.0
fire,ice,2.0
fire,fighting,1.0
fire,poison,1.0
fire,ground,1.0
fire,flying,1.0
fire,psychic,1.0
fire,bug,2.0
fire,rock,0.5
fire,ghost,1.0
fire,dragon,0.5
fire,dark,1.0
fire,steel,2.0
fire,fairy,1.0
water,normal,1.0
water,fire,2.0
water,water,0.5
water,electric,1.0
water,grass,0.5
water,ice,1.0
water,fighting,1.0
water,poison,1.0
water,ground,2.0
water,flying,1.0
water,psychic,1.0
water,bug,1.0
water,rock,2.0
water,ghost,1.0
water,dragon,0.5
water,dark,1.0
water,steel,1.0
water,fairy,1.0
electric,normal,1.0
electric,fire,1.0
electric,water,2.0
electric,electric,0.5
electric,grass,0.5
electric,ice,1.0
electric,fighting,1.0
electric,poison,1.0
electric,ground,0.0
electric,flying,2.0
electric,psychic,1.0
electric,bug,1.0
electric,rock,1.0
electric,ghost,1.0
electric,dragon,0.5
electric,dark,1.0
electric,steel,1.0
electric,fairy,1.0
grass,normal,1.0
grass,fire,0.5
grass,water,2.0
grass,electric,1.0
grass,grass,0.5
grass,ice,1.0
grass,fighting,1.0
grass,poison,0.5
grass,ground,2.0
grass,flying,0.5
grass,psychic,1.0
grass,bug,0.5
grass,rock,2.0
grass,ghost,1.0
grass,dragon,0.5
grass,dark,1.0
grass,steel,0.5
grass,fairy,1.0
ice,normal,1.0
ice,fire,0.5
ice,water,0.5
ice,electric,1.0
ice,grass,2.0
ice,ice,0.5
ice,fighting,1.0
ice,poison,1.0
ice,ground,2.0
ice,flying,2.0
ice,psychic,1.0
ice,bug,1.0
ice,rock,1.0
ice,ghost,1.0
ice,dragon,2.0
ice,dark,1.0
ice,steel,0.5
ice,fairy,1.0
fighting,normal,2.0
fighting,fire,1.0
fighting,water,1.0
fighting,electric,1.0
fighting,grass,1.0
fighting,ice,2.0
fighting,fighting,1.0
fighting,poison,0.5
fighting,ground,1.0
fighting,flying,0.5
fighting,psychic,0.5
fighting,bug,0.5
fighting,rock,2.0
fighting,ghost,0.0
fighting,dragon,1.0
fighting,dark,2.0
fighting,steel,2.0
fighting,fairy,0.5
poison,normal,1.0
poison,fire,1.0
poison,water,1.0
poison,electric,1.0
poison,grass,2.0
poison,ice,1.0
poison,fighting,1.0
poison,poison,0.5
poison,ground,0.5
poison,flying,1.0
poison,psychic,1.0
poison,bug,1.0
poison,rock,0.5
poison,ghost,0.5
poison,dragon,1.0
poison,dark,1.0
poison,steel,0.0
poison,fairy,2.0
ground,normal,1.0
ground,fire,2.0
ground,water,1.0
ground,electric,2.0
ground,grass,0.5
ground,ice,1.0
ground,fighting,1.0
ground,poison,2.0
ground,ground,1.0
ground,flying,0.0
ground,psychic,1.0
ground,bug,0.5
ground,rock,2.0
ground,ghost,1.0
ground,dragon,1.0
ground,dark,1.0
ground,steel,2.0
ground,fairy,1.0
flying,normal,1.0
flying,fire,1.0
flying,water,1.0
flying,electric,0.5
flying,grass,2.0
flying,ice,1.0
flying,fighting,2.0
flying,poison,1.0
flying,ground,1.0
flying,flying,1.0
flying,psychic,1.0
flying,bug,2.0
flying,rock,0.5
flying,ghost,1.0
flying,dragon,1.0
flying,dark,1.0
flying,steel,0.5
flying,fairy,1.0
psychic,normal,1.0
psychic,fire,1.0
psychic,water,1.0
psychic,electric,1.0
psychic,grass,1.0
psychic,ice,1.0
psychic,fighting,2.0
psychic,poison,2.0
